objectname,objectid,rating,collid,baverage,average,avgweight,rank,yearpublished
Adrenaline,202408,9,55138883,6.70865,7.08059,2.2909,694,2016
Adrenaline: Team Play DLC,233233,10,55977981,5.75262,7.58776,2.5714,0,2018
Altiplano,234487,8,57494591,7.13316,7.55461,3.3333,276,2017
Altiplano: The Traveler,257047,8,61273005,5.9867,7.62944,2.9,0,2018
Arboretum,140934,7,57494611,7.17384,7.40624,2.1472,244,2015
Aristeia!,230889,6,55138876,6.29812,8.3807,3.0294,1400,2017
Blackout: Hong Kong,262215,8,55977270,6.88621,7.52893,3.4748,488,2018
Castles of Mad King Ludwig,155426,0,56204198,7.40797,7.57057,2.6523,128,2014
Celestia,175117,8,55138899,6.72677,6.9986,1.3382,666,2015
Chimera Station,163642,7,55138937,6.53486,7.31294,3.1385,943,2017
Clank! In! Space!: A Deck-Building Adventure,233371,10,55138792,7.47356,7.86943,2.5214,105,2017
Clank! In! Space!: Apocalypse!,254470,9,55977925,6.40701,8.11203,2.6667,0,2018
Colony,192934,7,56204190,6.08449,6.63565,2.3214,2013,2016
Crown of Emara,256570,8,61528479,6.60825,7.47838,3.0411,820,2018
Deck Building: The Deck Building Game,175846,4,55138849,5.48558,5.43514,1.3529,17655,2015
Decrypto,225694,7,55138759,7.46706,7.79111,1.7953,106,2018
Everdell,199792,8,55979096,7.77087,8.065,2.8135,37,2018
Everdell: Pearlbrook,259996,0,62631689,6.63992,7.77579,2.7619,0,2019
A Fake Artist Goes to New York,135779,6,61775831,6.73837,7.17567,1.1707,651,2012
Feudum,163839,0,64695787,6.77026,7.67755,4.5756,615,2017
Flamme Rouge,199478,9,55139018,7.26845,7.56066,1.6679,196,2016
Fog of Love,175324,8,55977522,6.61407,7.00778,2.2556,811,2017
Funemployed,142296,7,55138923,6.11272,6.77761,1.1892,1926,2013
Galaxy Trucker,31481,8,55138930,7.29609,7.41536,2.3279,182,2007
Gizmos,246192,8,55139298,7.07325,7.45743,2.0073,323,2018
GKR: Heavy Hitters,187700,7,55138838,6.32477,7.73404,2.775,1336,2018
Gloomhaven: Jaws of the Lion,291457,7,74098995,7.88104,9.03274,3.486,25,2020
The Grizzled,171668,10,55138907,6.98922,7.21066,1.9422,392,2015
Hanamikoji,158600,10,55139090,7.2532,7.54645,1.708,203,2013
Junk Art,193042,8,55138863,6.97615,7.44143,1.2308,403,2016
Kingdomino,204583,7,61272976,7.23206,7.36052,1.2029,213,2016
Lords of Xidit,156566,7,55138825,6.76212,7.1493,2.6207,625,2014
Love Letter,129622,7,57494620,7.14325,7.23384,1.1919,271,2012
Mage Knight Board Game,96848,6,55138893,7.88498,8.10154,4.3042,24,2011
Mechs vs. Minions,209010,7,55138811,7.75364,8.06117,2.418,40,2016
Memoarrr!,230383,0,55979311,6.23899,6.96008,1.2,1547,2017
Meteor,166109,8,55139029,5.62829,6.11297,1.8947,6066,2014
The Mind,244992,7,55138741,6.79411,6.94445,1.0792,583,2018
Moons,169743,0,64695792,5.55224,5.91031,1.5,9582,2017
NMBR 9,217449,6,64695801,6.5997,6.92268,1.2,834,2017
Nusfjord,234277,8,57494595,6.97276,7.59784,2.879,406,2017
Papua,255034,7,55977274,5.65632,6.83531,2.8333,5420,2018
The Quacks of Quedlinburg,244521,8,61528738,7.58892,7.79624,1.9429,73,2018
Rajas of the Ganges,220877,8,55979175,7.33322,7.69453,2.8443,162,2017
Road Hog: Rule the Road,215482,4,55979182,5.57698,6.31952,2,7940,2017
Root,237182,7,55138783,7.84566,8.09602,3.6433,31,2018
Sagrada,199561,7,55138735,7.36495,7.52925,1.9286,146,2017
Saint Malo,117960,0,55979259,6.0611,6.46163,1.8981,2109,2012
Sidereal Confluence: Remastered Edition,202426,0,55139041,6.83362,7.79895,3.6627,534,2017
Space Base,242302,5,61272982,7.18857,7.56174,2.1154,238,2018
Space Base: The Emergence of Shy Pluto,266483,0,61272985,6.12255,7.81475,2,0,2019
Spirit Island,162886,6,55138698,8.06777,8.32379,3.9958,13,2017
Starship Samurai,245357,5,57494601,5.88402,7.07391,2.5333,2964,2018
Terraforming Mars,167791,8,55139204,8.28376,8.43075,3.2373,4,2016
Ticket to Ride,9209,6,55138801,7.32118,7.42839,1.8503,172,2004
Twilight Imperium (Third Edition),12493,6,55138723,7.59101,7.84161,4.2515,72,2005
Undermining,63167,5,55138728,5.80553,6.43348,1.8406,3523,2011
Underwater Cities,247763,8,55977348,7.68248,8.11173,3.574,51,2018
Vast: The Crystal Caverns,170416,6,55138775,6.79813,7.20392,3.5909,575,2016
Voodoo,154880,0,55979265,5.79805,6.34684,1.1071,3576,2014
We Didn't Playtest This At All,31016,3,55138919,5.45246,5.50621,1.0923,18992,2007
Welcome Back to the Dungeon,195043,5,55138869,6.34715,6.79477,1.3488,1287,2016
